id,titre,source,date_publication,lien,resume,langue,date_ajout
316,"Joyce Banda tells world leaders: stop talking, start acting on women in Congo peace talks - Nyasa Times",Google News — peace talks,2026-09-22T07:34:16+00:00,https://news.google.com/rss/articles/CBMitgFBVV95cUxQUkNBLWxHd0RsUHN3Z2hGWjkyOTRhbW16TldOU29faDAwZW51Y3NhTDYtVjZqRlJCcmxxZXJNZ1d3SUVhTVRTbi10bkZ3aEs5dXczNEQ5ZVhEQWZYWkJSbzBMS01kQl90NENjUVNCaG5mdndja1NSNEtSWUlZZzdFMUlsTDVPZnNfMlNvTnJ0Ym1sSDlzRTNhdkdaSVUwT0FCb3Z6ZkNWNXEwbG5JOGQ1QUg3M2EtQQ?oc=5,"Joyce Banda tells world leaders: stop talking, start acting on women in Congo peace talks Nyasa Times",en,2026-09-22T19:03:53+00:00
238,"Pakistan, Iran Discuss Regional Peace as US Talks Remain Stalled - Bloomberg.com",Google News — peace talks,2026-09-22T06:43:00+00:00,https://news.google.com/rss/articles/CBMitAFBVV95cUxQai1qWHVLeGZGRUc5TlUyTnhQbU5waDlKTkxjVDAzdExPN2p3X2RKa05aVHgyOXhsSHVSeVQ2aWRQWTdleDBMMFNzYU1mamI3TGd1YVktemZzRmNKeUNpT1M1NXY3aW5nRFhrY2RCVFo3TkFPRWdRbGZZSjN5c25GeVc2Q2RLU2JTcnhsaDVnMEp1c3lwTTVLTmMtb1h4MHpqcU54VVRBTVdLaEVmOVYyS3pyUVg?oc=5,"Pakistan, Iran Discuss Regional Peace as US Talks Remain Stalled Bloomberg.com",en,2026-09-22T19:03:53+00:00
140,"Türkiye’s mediation role grows in Africa peace efforts, experts say - turkiyetoday.com",Google News — peace mediation,2026-09-22T04:00:24+00:00,https://news.google.com/rss/articles/CBMirAFBVV95cUxQTVNxbDJoTlBFZVBDOVprbFV3aDRsdFRZZTVmRzBuSHhldFJPMGhtVzhpdjB2Umx1MHo2Wk9JOTJmbzl6bjNNV3hMaG00dzduT3lIbFdmc21STm1vODdrTXJCd2ZnSDdPNGxSa0s5MkxEUDRaQW45YVNMV1RzcTltU1VvcU5jc2NZbVdmLW9jZktTQVJiSWtwQTFKNTdlczJfQXVvenlUSl9IX3Vp?oc=5,"Türkiye’s mediation role grows in Africa peace efforts, experts say turkiyetoday.com",en,2026-09-22T19:03:53+00:00
246,"Houthis must stop escalation and commit to peace, France’s UN envoy tells Arab News - アラブニュース",Google News — peace talks,2026-09-22T01:18:01+00:00,https://news.google.com/rss/articles/CBMixwFBVV95cUxOakh3dU95LXNFVFY0bHlOLWNNUVFnLXlPQ1M3Umo2RFRuX211dnBWSkh2em5VdklqQ2xFbnl0XzA0UHhlN09fZnE0SlRlUjFMc0lPMHpCNkI3X3BxNVRDV0RXWmNDRnN1Nm1oSy10a2swS2h5RnlieTdZQTlhOE9veHN1UXd1am9JQi1sWC1taUlheUxscHlUWE93ZzBfLS11QWIwLWJPVlg3S0w4OVp3RVdzR1JWVGxyb0c3c1NiSDhDY2psUElZ?oc=5,"Houthis must stop escalation and commit to peace, France’s UN envoy tells Arab News アラブニュース",en,2026-09-22T19:03:53+00:00
256,Collective efforts urged on advancing world peace - China Daily Global Edition,Google News — peace talks,2026-09-22T01:16:35+00:00,https://news.google.com/rss/articles/CBMiggFBVV95cUxNQmJnN3g0ZzRQamRkcGVBdnFLajZJWE1SZW9zVGVySnF1dzhnQ1RtQWhreHAtLW1NWi1mWUkydGU1ZkpyN2swbUVPQjRRS0tiVWlzOTVPZDFxYWpEYlpYcnhfM3puamVyWTZaVmRYSURxT3FSRWNjTWo2M19oOGFrQ2JR?oc=5,Collective efforts urged on advancing world peace China Daily Global Edition,en,2026-09-22T19:03:53+00:00
272,Oil hits 12-day low on peace talks hopes - The Express Tribune,Google News — peace talks,2026-09-21T23:23:21+00:00,https://news.google.com/rss/articles/CBMigwFBVV95cUxOMTRTOWJtQVNWbEo0Qko0b3V5cFBiWnluMWlKRF94QTlWZDg4c3BwYVNYQVc5WmVHVXhkSEVkM3FkbjktcFJlV0hYMXR3WUY0S0FyOXFuelcyVUhFTDJhenpoVFpVM19tLW5sX3NZaGVxNTA0c2lLXzItNmthSnFDSEVUMNIBiwFBVV95cUxOaGpzRjdhVUJUZE9IbmRjWjU1dldaX05RY2V1MmZLdG1UdHhhQUZTbDB1X2c1eE96ck54aFVNRjZkRkxDOHNxNW1DdnV3VFozV0JZbDk4MlZXODUwTkJPRmdyb3N1SFh3QUhuMjluVVN0U01NcGtDVW1iQWNpa3JpcjFQSTMzcU9NZUU4?oc=5,Oil hits 12-day low on peace talks hopes The Express Tribune,en,2026-09-22T19:03:53+00:00
234,Can This Week's U.N. Gathering Cool Rising Tensions Between the U.S. and Iran? - Time Magazine,Google News — peace talks,2026-09-21T23:01:58+00:00,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQM0plUUlBWkVFWjdaYm5sLWhHVVJxaEVXc2RjWjVrRmpUeU85eHphZ2xzMjlXVFg1U2xnV3RzNFdyYkx4bmFkYzF2X1FZc29MbzUydEF3WERvRDVvVnV6c0dXZDNWRHVqcnI1Y2ZOZEhLalRsR2ZkNzhzQnA0dDBCU09rX0ZlbHNyLUYw?oc=5,Can This Week's U.N. Gathering Cool Rising Tensions Between the U.S. and Iran? Time Magazine,en,2026-09-22T19:03:53+00:00
45,Helping DC Families and Schools Navigate Conflict Through Collaboration - WJLA,Google News — conflict mediation,2026-09-21T20:00:17+00:00,https://news.google.com/rss/articles/CBMipgNBVV95cUxQTFlvVk1oUVFoLWNsX3JFNmN4Mk44amNabHUxeVk5ZXNvM3Z1LS1sMzA0UnRPaEhDTlUyZ25pYjk5cFh4U2xQT3VhWW5rWlc2SVgwVEZKZ1hlUXFNUC1lSV8wNmtWMTBiLW1SUUZtOERCZWd5RFRJZEluQ0hsS0FmNVBlLUhfUUpnNF91ME9RQ2p2SFpVQW5sSENZazh0VVo2OXRacVZzandFR2plcENMWU5oRGNQOVEtbTFiNGRSSmdSUWdNZjZyM0tNYW5Sb0NnZ1dOa0pONFFvQ3F2UDd3Q01XSUZIbnNWMVpiU0hMSWt5Z0ZyX1F2TDhjMm5QOXVlY29EYVhTQ2FFOUFaSmNLTFBtbDBjeS1KSXJLeV8wamJRY3hIVmNPa1EyWm1DcHNyLWZUZUREeGpHMVdDbHN0cDVDRG04RXRRM0JXdHVTQnNxd1pOdWtHNTRGVGFlTlBhZEY3LVpxZkh6V0h5R3NJM3BWaTdHWEFJWmpzWDZ2NUpzQk1mLWVzcXRWSTlqcWN1RFppYWxWNGVfdDFpZzgxR0VwTWdnZw?oc=5,Helping DC Families and Schools Navigate Conflict Through Collaboration WJLA,en,2026-09-22T19:03:53+00:00
249,Oil dips below $100 a barrel on hopes of US peace talks with Iran - The Times,Google News — peace talks,2026-09-21T18:30:18+00:00,https://news.google.com/rss/articles/CBMisgFBVV95cUxNM2lDc0FPZGFIdHBRNlBlbUFpdHY4QXhSS1VJSzllVUQ1WEpDX1ZzQ1JLOFZPY2lRamVUaDR2YXBRUlRuQXlYZjdfa3NMSkYwTzNzOEVvSmcxQ0djcjlyc3hveVE4ZDBHREFQZVFQT1pwWjJZLXMzWFliZFZsLXRkMmFxUFpHc0ItVmt0QmgzUjI0OTlCMGhHdU13WUZ5WFFYUkhsdEszMlVsSHV3ZVJDem9R?oc=5,Oil dips below $100 a barrel on hopes of US peace talks with Iran The Times,en,2026-09-22T19:03:53+00:00
222,Oil prices decline as Iran sets conditions for peace talks with US - foxbusiness.com,Google News — peace talks,2026-09-21T17:43:22+00:00,https://news.google.com/rss/articles/CBMiW0FVX3lxTE5jN01PZnZ2SzM1QktJcmU5SUZzTWFRd1plRWxSRUVGTEU4RzdqQ3UyRTE3alVrUXFsRllGSEU2SFFuaGZkVE54aWFXT0ktaTc1RWJBTWVqTzFiSTQ?oc=5,Oil prices decline as Iran sets conditions for peace talks with US foxbusiness.com,en,2026-09-22T19:03:53+00:00
263,Zelenskyy to meet Trump in New York as US pushes Russia-Ukraine peace talks - Firstpost,Google News — peace talks,2026-09-21T16:09:45+00:00,https://news.google.com/rss/articles/CBMivgFBVV95cUxQN2w5YlhYYXI4UW5rSnQ0TGE5YTZUNndHRHBrWTcxZWpLajNmU0ItVFZDRjBMWEdpVHo1NVE4SE82V2VLRDJ1NHFuQXpzVHNrNWs4cU00U084Y0kyUUY2UTVTWnNNOFhMMHg3WnZpckRVY3dKcFhVQlNMalI5ajh4elhyQ0UwLWoxYmthLWVpSlFUWjVEblBPdU16Vi1pQWcwcEJQU2VFZS05dUptLUdGakFaSkcwX3RhcW5obVlR0gHDAUFVX3lxTFB3cGMtQzJlcTlRWVp6ZVFVVVVnQkQ2ajVsaUI5QXByTVdyRU4zTlRzcFlCTXBUcXFxcFJYbEEzdGE0WExfU0xXS1VwXzdJTWpLRm0zeHlWdGRyS01vQklkbmd0NWQ2a1l2Ym5ZLUZoV0ZmVFFZa0E2ZFcyd2VIaGR5WGhwNDdXOWwzTFA0cHZEdlJKWWdJTU00TDRSQXJDeFVWc1oxYk1VLUtYcnpvWUJiTDJ6NGdsTUVlWUIzQ0psNHNtdw?oc=5,Zelenskyy to meet Trump in New York as US pushes Russia-Ukraine peace talks Firstpost,en,2026-09-22T19:03:53+00:00
158,State launches national mediation hub to promote peace in learning institutions - the-star.co.ke,Google News — peace mediation,2026-09-21T14:22:51+00:00,https://news.google.com/rss/articles/CBMingFBVV95cUxPczFjVVZlQllLSm52MjZJejEzenFvSUZCTmtWQVBnSnRGekw5NC1BQWU3NE1Qb2FUNENqdkdaOFl4N0tHR215XzhwNjY5bVA5NzM5ZnNZcjRtZVpYQjE0eTRkX2h1SVIwMGFWOFRsV0V3MzhLNDJpaGFxakxzVklUNlNrT3RtVEU3d0hzRFAwVzd6OEVQZWxCS0dOM2tndw?oc=5,State launches national mediation hub to promote peace in learning institutions the-star.co.ke,en,2026-09-22T19:03:53+00:00
48,Sudan Mediation: New York push to align international positions - Sudan Tribune,Google News — conflict mediation,2026-09-21T14:08:30+00:00,https://news.google.com/rss/articles/CBMiUEFVX3lxTE45N3M2TzJkUFRJRDJJXzdUdTBFaW9jb1RCT2w5Y01lMnprSXhHYkN6M0Roa0dXTzJuWlFMWFlTa3FaQ2VvOGo1N1lWT0Jpd25z?oc=5,Sudan Mediation: New York push to align international positions Sudan Tribune,en,2026-09-22T19:03:53+00:00
